file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
exp/frame_00000.jpg,54.0,20.0,0.6225058,51.0,17.0,0.6443398,57.0,17.0,0.72193384,47.0,21.0,0.69296956,61.0,21.0,0.7681998,37.0,37.0,0.85583794,70.0,39.0,0.8541451,30.0,67.0,0.8965744,77.0,68.0,0.887436,35.0,84.0,0.53856796,70.0,82.0,0.55299234,44.0,84.0,0.9282099,64.0,83.0,0.91050386,35.0,121.0,0.8978058,81.0,116.0,0.7992469,32.0,161.0,0.7469789,101.0,146.0,0.7807723,0,exp
exp/frame_000002.jpg,33.0,21.0,0.5214834,34.0,19.0,0.676197,31.0,19.0,0.6447998,35.0,20.0,0.3992603,26.0,20.0,0.6060768,40.0,32.0,0.7555243,19.0,32.0,0.7720858,42.0,50.0,0.47730774,14.0,50.0,0.55137414,43.0,63.0,0.45662096,12.0,69.0,0.56700313,36.0,63.0,0.80424535,24.0,64.0,0.83549196,38.0,91.0,0.8093375,23.0,91.0,0.6043283,38.0,115.0,0.6599127,25.0,117.0,0.511779,0,exp
exp/frame_000003.jpg,14.0,37.0,0.39671886,16.0,34.0,0.48643282,14.0,34.0,0.51736057,24.0,34.0,0.6007638,19.0,35.0,0.4937302,38.0,45.0,0.76112545,19.0,49.0,0.68634,53.0,67.0,0.63804543,15.0,69.0,0.8368803,61.0,89.0,0.48555186,5.0,81.0,0.64745283,46.0,82.0,0.89541256,32.0,83.0,0.868411,36.0,116.0,0.7338535,29.0,115.0,0.7930157,42.0,145.0,0.562832,38.0,143.0,0.71604383,0,exp
exp/frame_000005.jpg,16.0,49.0,0.6130446,18.0,45.0,0.5059897,15.0,46.0,0.63056296,25.0,43.0,0.5639063,19.0,44.0,0.52480775,39.0,48.0,0.88631374,19.0,52.0,0.64019465,52.0,71.0,0.6316962,3.0,64.0,0.37083682,45.0,92.0,0.35042876,4.0,61.0,0.31816447,64.0,68.0,0.89018166,49.0,70.0,0.76198006,42.0,95.0,0.50986755,37.0,95.0,0.43261296,56.0,114.0,0.46510473,50.0,116.0,0.17025825,0,exp
exp/frame_000006.jpg,63.0,49.0,0.4060336,64.0,46.0,0.59288037,60.0,47.0,0.36952013,63.0,49.0,0.5378978,53.0,51.0,0.70840645,70.0,65.0,0.774536,44.0,58.0,0.9179636,70.0,87.0,0.42723507,44.0,77.0,0.8333951,68.0,92.0,0.2413845,63.0,70.0,0.48842525,59.0,103.0,0.8672966,40.0,101.0,0.81834733,61.0,116.0,0.37133107,31.0,128.0,0.8376037,39.0,133.0,0.32673302,36.0,136.0,0.2887741,0,exp
exp/frame_000007.jpg,32.0,34.0,0.21095558,28.0,27.0,0.55192506,25.0,27.0,0.57904863,38.0,27.0,0.48601913,44.0,29.0,0.17142907,45.0,48.0,0.79145515,69.0,44.0,0.87703156,33.0,69.0,0.6863071,85.0,51.0,0.88057387,9.0,79.0,0.38319933,65.0,63.0,0.29604042,70.0,89.0,0.8383765,86.0,86.0,0.898644,52.0,131.0,0.73779565,89.0,128.0,0.79283345,53.0,166.0,0.7605084,100.0,163.0,0.75627756,0,exp
exp/frame_000122.jpg,32.0,22.0,0.59502244,34.0,20.0,0.64610577,30.0,20.0,0.6797594,35.0,21.0,0.58252835,26.0,21.0,0.58130157,40.0,33.0,0.7642244,20.0,34.0,0.8433512,42.0,53.0,0.421755,17.0,55.0,0.6927854,43.0,66.0,0.15336746,15.0,74.0,0.4341582,37.0,67.0,0.8500247,25.0,67.0,0.83483213,36.0,93.0,0.7829282,23.0,92.0,0.68583953,36.0,116.0,0.6563581,24.0,118.0,0.64386165,0,exp
exp/frame_000123.jpg,37.0,38.0,0.49791354,39.0,34.0,0.59936273,35.0,34.0,0.7487601,49.0,32.0,0.43407282,38.0,33.0,0.5302579,63.0,52.0,0.5757103,31.0,45.0,0.7752898,54.0,77.0,0.60466754,29.0,64.0,0.7240803,36.0,91.0,0.67468494,18.0,77.0,0.60493624,57.0,88.0,0.73037124,40.0,86.0,0.8342029,71.0,131.0,0.55424416,30.0,122.0,0.7092031,76.0,167.0,0.5119865,36.0,155.0,0.90569633,0,exp
exp/frame_000124.jpg,57.0,86.0,0.520341,57.0,84.0,0.55872107,57.0,84.0,0.55145,63.0,83.0,0.70661974,62.0,83.0,0.6135953,73.0,93.0,0.62871027,73.0,90.0,0.73039806,85.0,115.0,0.6081204,78.0,108.0,0.35584968,79.0,137.0,0.49529028,71.0,116.0,0.34761968,99.0,116.0,0.41267207,96.0,115.0,0.39543158,61.0,131.0,0.7604954,68.0,123.0,0.5876774,72.0,163.0,0.34519333,75.0,157.0,0.10685497,0,exp
exp/frame_000125.jpg,70.0,26.0,0.56005317,67.0,23.0,0.57896316,73.0,23.0,0.5715726,64.0,27.0,0.73646826,76.0,27.0,0.6742989,55.0,42.0,0.8769924,87.0,44.0,0.758101,46.0,69.0,0.63775253,92.0,72.0,0.7260982,53.0,86.0,0.27322793,81.0,85.0,0.46960494,63.0,90.0,0.7867195,83.0,90.0,0.86540496,48.0,124.0,0.7222557,88.0,122.0,0.7952693,45.0,164.0,0.88220024,95.0,159.0,0.8738979,0,exp
